
DATE,DAY,TIME,TYPE,MESSAGE
06/23/21,WED,19:42:54,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:54,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:54,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:54,INF,FACE RECOGNITION.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:54,INF,FACE RECOGNITION.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:54,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:55,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:55,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:55,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:55,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:55,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:55,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:55,INF,MANISHA GOHEL.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:55,INF,MANISHA GOHEL.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:55,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:56,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:56,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:56,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:56,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:56,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:56,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:56,INF,PRIYA KUMARI.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:56,INF,PRIYA KUMARI.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:56,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:57,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:57,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:57,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:57,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:57,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:57,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:57,INF,RASHMI RAI.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:57,INF,RASHMI RAI.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:57,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:57,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:57,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:57,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:57,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:57,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:57,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:57,INF,SANTOSH SAXENA.JPG IS SELECTED FOR VALIDATION
06/23/21,WED,19:42:57,INF,SANTOSH SAXENA.JPG IS ENDING WITH .JPG
06/23/21,WED,19:42:57,CHK,FACE VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:59,INF,ONE PERSON PER IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:59,INF,3 CHANNELS VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:59,INF,3 DIMENSIONS IMAGE VALIDATION CONDITION SATISFIED
06/23/21,WED,19:42:59,INF,SATISFIED ALL THE VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,MOVED IMAGE TO GOOD_IMAGE DIRECTORY
06/23/21,WED,19:42:59,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:59,PAS,IMAGE VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:59,END,IMAGE VALIDATION MODULE COMPLETED




06/23/21,WED,19:42:59,BEG,NAME VALIDATION MODULE INITIALIZED

06/23/21,WED,19:42:59,CHK,NAME VALIDATION CONSTRUCTOR INTIALZED
06/23/21,WED,19:42:59,INF,GOOD_IMAGES DIRECTORY  FOUND
06/23/21,WED,19:42:59,INF,SOT LOADED SUCCESSFULLY
06/23/21,WED,19:42:59,PAS,NAME VALIDATION CONSTRUCTOR COMPLETED
06/23/21,WED,19:42:59,CHK,PERSON NAME VALIDATION METHOD INITIALIZED
06/23/21,WED,19:42:59,INF,BHAVNA AGRAWAL IS SELECTED
06/23/21,WED,19:42:59,INF,BHAVNA AGRAWAL.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,BHAVNA AGRAWAL.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,INF,CHAKRIKA ANAND IS SELECTED
06/23/21,WED,19:42:59,INF,CHAKRIKA ANAND.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,CHAKRIKA ANAND.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,INF,FACE RECOGNITION IS SELECTED
06/23/21,WED,19:42:59,INF,FACE RECOGNITION.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,FACE RECOGNITION.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,INF,MANISHA GOHEL IS SELECTED
06/23/21,WED,19:42:59,INF,MANISHA GOHEL.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,MANISHA GOHEL.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,INF,PRIYA KUMARI IS SELECTED
06/23/21,WED,19:42:59,INF,PRIYA KUMARI.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,PRIYA KUMARI.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,INF,RASHMI RAI IS SELECTED
06/23/21,WED,19:42:59,INF,RASHMI RAI.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,RASHMI RAI.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,INF,SANTOSH SAXENA IS SELECTED
06/23/21,WED,19:42:59,INF,SANTOSH SAXENA.JPG IS SATISFYING VALIDATION CONDITIONS
06/23/21,WED,19:42:59,INF,SANTOSH SAXENA.JPG IS REMAINED TO GOOD_IMAGES DIRECTORY
06/23/21,WED,19:42:59,PAS,PERSON NAME VALIDATION METHOD COMPLETED
06/23/21,WED,19:42:59,END,NAME VALIDATION MODULE COMPLETED




06/23/21,WED,19:42:59,BEG,IMAGE PREPROCESSING MODULE INITIALIZED

06/23/21,WED,19:42:59,CHK,IMAGE PREPROCESSING CONSTRUCTOR INITIALIZED
06/23/21,WED,19:43:05,INF,FACENET MODEL IS LOADED
06/23/21,WED,19:43:05,INF,MTCNN MODEL IS LOADED
06/23/21,WED,19:43:05,PAS,IMAGE PREPROCESSING CONSTRUCTOR COMPLETED
06/23/21,WED,19:43:05,CHK,FACE EXTRACTOR METHOD INITIALIZED
06/23/21,WED,19:43:05,INF,EXTRACTING FACE FROM IMAGES
06/23/21,WED,19:43:05,INF,BHAVNA AGRAWAL.JPG IS SELECTED
06/23/21,WED,19:43:07,INF,BHAVNA AGRAWAL.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:07,INF,CHAKRIKA ANAND.JPG IS SELECTED
06/23/21,WED,19:43:07,INF,CHAKRIKA ANAND.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:07,INF,FACE RECOGNITION.JPG IS SELECTED
06/23/21,WED,19:43:09,INF,FACE RECOGNITION.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:09,INF,MANISHA GOHEL.JPG IS SELECTED
06/23/21,WED,19:43:09,INF,MANISHA GOHEL.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:09,INF,PRIYA KUMARI.JPG IS SELECTED
06/23/21,WED,19:43:10,INF,PRIYA KUMARI.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:10,INF,RASHMI RAI.JPG IS SELECTED
06/23/21,WED,19:43:11,INF,RASHMI RAI.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:11,INF,SANTOSH SAXENA.JPG IS SELECTED
06/23/21,WED,19:43:12,INF,SANTOSH SAXENA.JPG FACE IS EXTRACTED
06/23/21,WED,19:43:12,PAS,FACES EXTRACTED METHOD COMPLETED
06/23/21,WED,19:43:12,CHK,FACENET MODEL METHOD INITIALIZED
06/23/21,WED,19:43:12,INF,PROCESSING FACES INTO 512 FACIAL FEATURES
06/23/21,WED,19:43:17,INF,FEATURES EXTRACTED SUCCESSFULLY
06/23/21,WED,19:43:17,INF,EXPORTING FILE TO CSV
06/23/21,WED,19:43:17,PAS,FACENET MODEL METHOD COMPLETED
06/23/21,WED,19:43:17,END,IMAGE PREPROCESSING MODULE COMPLETED




06/23/21,WED,19:43:17,BEG,DATABASE MODULE INITIALIZATION

06/23/21,WED,19:43:17,CHK,CREATING DATABASE METHOD INITIALIZED
06/23/21,WED,19:43:18,INF,CONNECTION DONE SUCCESSFULLY
06/23/21,WED,19:43:18,INF,DATABASE DOES NOT EXISTS
06/23/21,WED,19:43:18,INF,CREATING A NEW DATABASE
06/23/21,WED,19:43:19,PAS,CREATING DATABASE METHOD COMPLETED
06/23/21,WED,19:43:19,CHK,CREATING TABLE METHOD INITIALIZED
06/23/21,WED,19:43:19,INF,CONNECTION BUILD SUCCESSFULLY
06/23/21,WED,19:43:19,INF,CHECKING PREVIOSULY AVAILABLE TABLE
06/23/21,WED,19:43:19,INF,TABLE DOES NOT EXISTS
06/23/21,WED,19:43:19,INF,CREATING A NEW TABLE
06/23/21,WED,19:43:21,PAS,CHECKING TABLE METHOD COMPLETED
06/23/21,WED,19:43:21,CHK,INSERTING DATA INTO DATABASE
06/23/21,WED,19:43:21,INF,SETTING UP DATABASE CONNECTION
06/23/21,WED,19:43:22,INF,DATABASE CONNECTED SUCCESSFULLY
06/23/21,WED,19:43:22,INF,INSERTING DATA INTO DATABASE
06/23/21,WED,19:43:22,PAS,DATA INSERTED INTO DATABASE
06/23/21,WED,19:43:23,INF,REMOVING THE TEMPORARY DATAFRAME
06/23/21,WED,19:43:23,END,DATABASE MODULE COMPLETED




06/23/21,WED,19:43:23,BEG,MODEL CREATION MODULE INITIALIZED

06/23/21,WED,19:43:23,CHK,MODEL CREATION CONSTRUCTOR INITIALIZED
06/23/21,WED,19:43:23,PAS,MODEL CREATION CONSTRUCTOR COMPLETED
06/23/21,WED,19:43:23,CHK,LOADING DATASET METHOD INITIALIZED
06/23/21,WED,19:43:23,CHK,CONNECTING DATABASE INITIALIZED
06/23/21,WED,19:43:23,PAS,DATABASE CONNECTED SUCCESSFULLY
06/23/21,WED,19:43:23,INF,EXTRACTING DATASET FROM DATABASE
06/23/21,WED,19:43:23,PAS,LOADING DATASET METHOD COMPLETED
06/23/21,WED,19:43:23,CHK,DATA PREPROCESSING METHOD INITIALIZED
06/23/21,WED,19:43:23,INF,TRAINING FEATURES AND LABELS INITIALIZED SUCCESSFULLY
06/23/21,WED,19:43:23,INF,LABEL ENCODING SUCCESSFUL
06/23/21,WED,19:43:23,INF,ONE HOT ENCODING SUCCESSFUL
06/23/21,WED,19:43:23,PAS,DATA PREPROCESSING METHOD COMPLETED
06/23/21,WED,19:43:23,CHK,LAYER PROCESSING METHOD INITIALIZED
06/23/21,WED,19:43:23,ERR,MODEL CREATION IN LAYER PROCESSING
06/23/21,WED,19:43:23,LIN,LINE NO IS 198
06/23/21,WED,19:43:23,TYP,ADD_IN_LOGS() TAKES 3 POSITIONAL ARGUMENTS BUT 4 WERE GIVEN
06/23/21,WED,19:43:23,CHK,EPOCHS PROCESSING METHOD INITIALIZED
06/23/21,WED,19:43:23,INF,START FINDING BEST EPOCH
06/23/21,WED,19:43:28,INF,BEST EPOCH: 2
06/23/21,WED,19:43:28,INF,BEST EPOCH FOUND
06/23/21,WED,19:43:28,PAS,EPOCHS PROCESSING METHOD COMPLETED
06/23/21,WED,19:43:28,CHK,FINAL PROCESSING METHOD INITIALIZED
06/23/21,WED,19:43:28,INF,FINAL MODEL TRAINING STARTED
06/23/21,WED,19:43:29,INF,FINAL MODEL TRAINING COMPLETED
06/23/21,WED,19:43:32,INF,MODEL SAVED
06/23/21,WED,19:43:32,PAS,FINAL PROCESSING METHOD COMPLETED
06/23/21,WED,19:43:32,END,MODEL CREATION MODULE COMPLETED

